23,"În acest proiect vei găsi anunțuri potrivite criteriilor tale | În construcție | ... | 1 |  /  | 8 | B HOME RESIDENCE IASI | CUG, Iasi, Iasi | de la 1700 €/m²  | Prețul pe metru pătrat | 50-170 m² | Vezi descrierea anunțului | Descoperă B Home Residence, noul ansamblu rezidențial din Iași care îmbină perfect confortul urban cu relaxarea naturii. Alege un stil de viață modern, sigur și conectat, într-o locație premium!Locali... | Reactualizat | STYL IMOBIL COMPANY SRL | Dezvoltator | APARTAMENT 1 CAMERA 72.777 EURO + TVA  DIRECT LA DEZVOLTATOR | 72 777 € | 1700 €/m² | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 42.81 m² | APARTAMENT 2 CAMERE CU GEAM LA BAIE, SELGROS, DIRECT LA DEZVOLTATOR | 110 840 € | 1700 €/m² | Numărul de camere | 2 camere | Prețul pe metru pătrat | 65.2 m² | Mai sunt anunțuri în acest proiect | Descoperă toate anunțurile"
24,"1 |  /  | 5 | 61 900 € | 1602 €/m² | MIRCEA CEL BATRAN, Apartament 2 camere, semidecomandat, 61.900 Euro | Mircea cel Batran, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 38.63 m² | Etaj | parter | Vezi descrierea anunțului | DESTINE IMOBILIARE va propune spre vânzare un apartament cu 2 camere situat în zona Mircea cel Bătrân, cu acces facil la transport, magazine, școli și alte puncte de interes.Locuința necesită renovare... | Destine Imobiliare | Agenție imobiliară"
25,"1 |  /  | 9 | 83 600 € | 1915 €/m² | MIRCEA CEL BATRAN, Apartament 2 camere, nedecomandat, 83.600 Euro | Mircea cel Batran, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 43.66 m² | Etaj | 1 etajul | Vezi descrierea anunțului | DESTINE IMOBILIARE vă  propune spre vânzare un apartament cu 2 camere, nedecomandat, situat în cartierul Mircea cel Bătrân.Caracteristici:- Suprafață totală: 43,66 mp- Compartimentare: nedecomandat- E... | Destine Imobiliare | Agenție imobiliară"
26,"1 |  /  | 9 | 174 000 € | 2900 €/m² | Apartament 3 camere | Palas Mall | Bloc 2020 | 174.000 euro | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 60 m² | Etaj | parter | Vezi descrierea anunțului | &Icirc;&#539;i dore&#537;ti un apartament &icirc;n buricul t&acirc;rgului? &Icirc;&#539;i prezent&#259;m un apartament situat la 2 minute de Palas Mall, &icirc;ntr-un bloc construit &icirc;n 2020 din ... | Reactualizat | ATLAS REALTY SRL | Agenție imobiliară"
27,"1 |  /  | 10 | 125 900 € | 2421 €/m² | Apartament 3 camere | Decomandat | Etaj 2 | Pacurari | Renovat total | Pacurari, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 52 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Dac&#259; &icirc;&#539;i dore&#537;ti un apartament &icirc;n Ia&#537;i care s&#259; nu &icirc;&#539;i mai cear&#259; nicio investi&#539;ie, acesta este pentru tine.Acest apartament de 3 camere este si... | ATLAS REALTY SRL | Agenție imobiliară"
28,"1 |  /  | 15 | 99 000 € | 1833 €/m² | Apartament cu 3 camere, SD, Dacia - Bicaz Anemarket, parter inalt | Dacia, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 54 m² | Etaj | parter | Vezi descrierea anunțului | Apartament 3 camere semidecomandat – mobilat & utilat – Bicaz - Dacia

Îți prezentăm un apartament modern, situat într-un bloc construit în 1978, într-una dintre cele mai căutate zone ale municipiul... | Reactualizat | GLADIATOR Imobiliare | Agenție imobiliară"
29,"1 |  /  | 16 | 53 650 € | 1450 €/m² | Apartament 1 cameră decomandat în Păcurari - Preț imbatabil de lansare | Pacurari, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 37 m² | Etaj | parter | Vezi descrierea anunțului | START VÂNZĂRI la cel mai nou complex din Iași!Apartament 1 cameră – 37 mp – în Păcurari, în spate la Alpha BankCauți un apartament cu o cameră, dar care să ofere spațiu, confort și un preț corect?Acea... | Reactualizat | Creative real imob srl  | Dezvoltator"
30,"1 |  /  | 16 | 330 000 € | 3000 €/m² | apartament centru | Centru, Iasi, Iasi | Numărul de camere | 5 camere | Prețul pe metru pătrat | 110 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Spatiul prezentat are o suprafata de aprox. 110mp utilirecent renovat, este pozitionat la etajul 1  cu acces si contorizare separata. Locatia este pretabila atat pentru locuit cat si pentru diverse ac... | Reactualizat | Proprietar"
31,"eri | ... | 1 |  /  | 2 | 120 000 € | 2264 €/m² | Apartament 2 camere bloc 2017 | Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Vând apartament 2 camere semidecomandat  53 mp
Zona centrala..B dul Nicolae Iorga 
Et 3..vedere la strada 
Bloc 2017
Apartamentul se vinde utilat mobilat complet 
Mai multe detalii la telefon | Agenție imobiliară"
32,"eri | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 11 | 95 500 € | 1619 €/m² | Apartament 2 camere de LUX  -  95 500 euro | Bucium, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 59 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Ap 2 camere-95 500 euroSuprafata utila 58,34 mp,  Bucium-Visani, centru, et. 2-lift,Apartament de LUX, decomandat cu 2 balcoane Camere spațioase și luminoase,cu ferestre mari și orientare ideală pentr... | ADAM IMOBIL | Agenție imobiliară"
