Titlu,Pret_Raw,Link,Full_Description,Pret_EUR
Titlu Necunoscut,98 200 €,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-50-mp-panoramic-residence-valea-ada-IDFLyj,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 14 | 98 200 € | 1964 €/m² | Apartament 2 camere, decomandat, 50 mp, Panoramic Residence, Valea Ada | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere, model decomandat clasic, situat in complexul rezidential Panoramic Residence, Valea Adanca. Proprietatea se afla la etajul 2 dintr-un imobil cu 3 ni... | Reactualizat | Agentia Imobiliara Express Casa | Agenție imobiliară",
Titlu Necunoscut,162 220 €,https://www.storia.ro/ro/oferta/apartament-3-camere-privelite-panoramic-direct-dezvoltator-IDvIYl,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 21 | 162 220 € | 1900 €/m² | Apartament 3 camere, priveliște panoramică, direct dezvoltator | Podu Ros, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 85.38 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Apartament 3 camere de vânzare in Iași , Copou, Aleea Mihail Sadoveanu construcție nouă, în ansamblul rezidențial ROYAL TOWN, în curs de finalizare și care se va preda finisat anule viitor.. Apartamen... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,131 100 €,https://www.storia.ro/ro/oferta/apartament-complex-royal-town-2-camere-decom-iunie-2026-IDvNNg,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 20 | 131 100 € | 1900 €/m² | Apartament complex Royal Town, 2 camere decom, Iunie 2026 | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 69 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Vino să te muți în inima verde a orașului, pe înălțimile Copoului, într-un apartament cu 2 camere, în ansamblul rezidențial Royal Town.Știm că nu doar exteriorul contează, așadar te conducem spre inte... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,129 840 €,https://www.storia.ro/ro/oferta/apartament-nou-2-camere-direct-dezvoltator-comision-0-IDvNNX,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 16 | 129 840 € | 2497 €/m² | Apartament nou 2 camere, direct dezvoltator (comision 0) | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | 6 etajul | Vezi descrierea anunțului | Vino să te muți în inima verde a orașului, pe înălțimile Copoului într-un apartament cu finisaje premium în ansamblul rezidențial Royal Town.Știm că nu doar exteriorul contează, așadar te conducem spr... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,128 715 €,https://www.storia.ro/ro/oferta/aprilie-2026-ideal-investiie-apartament-53-mp-royal-town-iai-IDvNOT,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 13 | 128 715 € | 2404 €/m² | Aprilie 2026! Ideal Investiție, apartament 53 mp, Royal Town Iași | Agronomie, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 53.55 m² | Etaj | 7 etajul | Vezi descrierea anunțului | Vă propunem pentru achiziție un apartament ideal pentru investiție cu priveliștea cea mai râvnită din complexul Royal Town.Apartamentul are 1 cameră și suprafața totală de 53,55  mp, este situat la et... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,130 090 €,https://www.storia.ro/ro/oferta/apartament-decomandat-nou-copou-2-camere-etaj-6-predare-iunie-2026-IDvNP9,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 16 | 130 090 € | 1900 €/m² | Apartament Decomandat Nou Copou, 2 camere ,etaj 6, predare Iunie 2026 | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 68.47 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Proiectat pentru iubitorii de natură și persoane dinamice, cu posibilități ample de personalizare a spațiului, ansamblul rezidențial ROYAL TOWN îți oferă un mediu care reflectă personalitatea și stilu... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,110 000 €,https://www.storia.ro/ro/oferta/direct-dezvoltator-apartament-nou-finalizare-aprilie-2026-IDvNTq,"... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 110 000 € | 2535 €/m² | Direct Dezvoltator,  apartament nou, finalizare Aprilie 2026 | Agronomie, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 43.4 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Gustul dimineții e mai dulce când te trezește vecinul tău - natura!Trăim în viteză și atașați de pulsul viu al orașului în timpul zilei, însă unde duc drumurile gândurilor tale la sfârșit de zi, când ... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,128 160 €,https://www.storia.ro/ro/oferta/finalizat-apartament-2-camere-direct-dezvoltator-royal-town-iasi-IDvSTp,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 20 | 128 160 € | 2000 €/m² | Finalizat! Apartament 2 camere, direct dezvoltator , Royal Town, Iasi | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 64.08 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Ești în căutarea unei locuințe finalizate, în cea mai frumoasă zonă a Copoului?Îți propunem un apartament finalizat în 2025 cu 2 camere, decomandat, la etajul 5/8 cu suprafața totală de 64 mp.Apartame... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,170 760 €,https://www.storia.ro/ro/oferta/finalizat-apartament-de-vanzare-3-camere-decomandat-iasi-copou-IDvT8x,"... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 11 | 170 760 € | 2000 €/m² | Finalizat!Apartament de vanzare, 3 camere decomandat, Iasi-Copou | Agronomie, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 85.38 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Proiectat pentru iubitorii de natură și persoane dinamice, cu posibilități ample de personalizare a spațiului, ansamblul rezidențial ROYAL TOWN îți oferă un mediu care reflectă personalitatea și stilu... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,167 200 €,https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-complex-rezidential-copou-iasi-IDvT9v,"... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 167 200 € | 2721 €/m² | Apartament 3 camere decomandat, complex rezidential, Copou, Iasi | Agronomie, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 61.45 m² | Etaj | parter | Vezi descrierea anunțului | Proiectat pentru iubitorii de natură și persoane dinamice, cu posibilități ample de personalizare a spațiului, ansamblul rezidențial ROYAL TOWN îți oferă un mediu care reflectă personalitatea și stilu... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,138 000 €,https://www.storia.ro/ro/oferta/finalizat-apartament-2-camere-complex-nou-royal-town-iasi-IDvVUz,"... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 138 000 € | 1999 €/m² | Finalizat! Apartament 2 camere complex nou Royal Town Iasi | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 69.03 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Vino să te muți în inima verde a orașului pe înălțimile Copoului într-un apartament cu 2 camere,  în ansamblul rezidențial Royal Town.Alegerea căminului perfect este una dintre cele mai împlinitoare d... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,131 100 €,https://www.storia.ro/ro/oferta/decomandat-apartament-2-camere-complex-nou-royal-town-iunie-2026-IDxbRi,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 15 | 131 100 € | 1900 €/m² | Decomandat! Apartament 2 camere complex nou Royal Town, Iunie 2026 | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 69 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Proiectat pentru iubitorii de natură și persoane dinamice, cu posibilități ample de personalizare a spațiului, ansamblul rezidențial ROYAL TOWN îți oferă un mediu care reflectă personalitatea și stilu... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,110 000 €,https://www.storia.ro/ro/oferta/predare-aprilie-apartament-1-camer-44-mp-royal-town-iai-IDxeD2,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 16 | 110 000 € | 2500 €/m² | Predare Aprilie ! Apartament 1 cameră, 44 mp, Royal Town Iași | Agronomie, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 44 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Spațiile verzi cu gazon rulouri și cu irigare automată, peisagistica profesională, zona liniștită și spațiile de joacă pentru copii vin să întregească tabloul pentru alegerea unui apartament care să d... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,130 090 €,https://www.storia.ro/ro/oferta/apartamente-2-camere-de-vnzare-royal-town-iasi-IDxeDB,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 18 | 130 090 € | 1900 €/m² | Apartamente 2 camere de vânzare, Royal Town, Iasi | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 68.47 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Vino să te muți în inima verde a orașului pe înălțimile Copoului, într-un apartament cu 2 camere din cadrul ansamblului rezidențial Royal Town.Suntem pregătiți să îți punem la dispoziție o echipă de s... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,85 000 €,https://www.storia.ro/hpr/ro/oferta/de-vanzare-apartament-3-camere-mircea-cel-batran-IDFThK,"Adăugat astăzi | 85 000 € | 1667 €/m² | DE VANZARE-APARTAMENT 3 CAMERE-MIRCEA CEL BATRAN | Mircea cel Batran, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 51 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia Invest Imobiliare va propune spre vanzare un apartament de 3 camere, modelul semidecomandat, situat la etajul 4 intr-un bloc cu pod ce a fost construit in anul 1979, acesta fiind fara risc sei... | INVEST IMOBILIARE | Agenție imobiliară",
Titlu Necunoscut,149 900 €,https://www.storia.ro/ro/oferta/apartament-3-camere-comat-towers-75-5-mp-mobilat-finalizat-IDD21i,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 21 | 149 900 € | 1985 €/m² | Apartament 3 Camere - Comat Towers - 75.5 Mp - Mobilat / Finalizat | Dacia, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 75.5 m² | Etaj | 1 etajul | Vezi descrierea anunțului | *149.900 Euro pentru modalitatea de plată integrală (preț fără TVA)**Apartamentul se vinde mobilat și utilat**Preț mobilier + electrocasnice: 30.000 EuroAnsamblul rezidențial Comat Towers propune spre... | Reactualizat | Comat Towers | Agenție imobiliară",
