,Pret_Raw,Full_Description,Suprafata_Utila,Nr_Camere,An_Constructie,Zona
21,72 000 €,"1 |  /  | 10 | 72 000 € | 1800 €/m² | Apartament 1 cameră | 40 mp | Etaj 1 | Bloc 2016 | Bucium, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 40 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament cu 1 cameră, având o suprafață de 40 mp, situat la etajul 1 al unui imobil construit în 2016. Apartamentul a fost renovat complet în anul 2023 și se vinde mobilat ... | ZDA | Agenție imobiliară",40.0,1.0,2016.0,Bucium
22,101 916 €,"1 |  /  | 4 | 101 916 € | 1800 €/m² | INVESTITIE-Apartamente 1/2 CAMERE 900m de OMV BUCIUM -Predare MAI 2026 | Strada Visan, Bucium, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 56.62 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Te invităm să descoperi UNITY REAL ESTATE-IASI, un ansamblu rezidențial modern, creat pentru a-ți oferi tot ce ai nevoie: confort, siguranță și un spațiu perfect pentru tine și cei dragi.Ce oferim?Apa... | Reactualizat | Proprietar",900.0,2.0,2026.0,Strada Visan
26,174 000 €,"1 |  /  | 9 | 174 000 € | 2900 €/m² | Apartament 3 camere | Palas Mall | Bloc 2020 | 174.000 euro | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 60 m² | Etaj | parter | Vezi descrierea anunțului | &Icirc;&#539;i dore&#537;ti un apartament &icirc;n buricul t&acirc;rgului? &Icirc;&#539;i prezent&#259;m un apartament situat la 2 minute de Palas Mall, &icirc;ntr-un bloc construit &icirc;n 2020 din ... | Reactualizat | ATLAS REALTY SRL | Agenție imobiliară",60.0,3.0,2020.0,Tudor Vladimirescu
28,99 000 €,"1 |  /  | 15 | 99 000 € | 1833 €/m² | Apartament cu 3 camere, SD, Dacia - Bicaz Anemarket, parter inalt | Dacia, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 54 m² | Etaj | parter | Vezi descrierea anunțului | Apartament 3 camere semidecomandat – mobilat & utilat – Bicaz - Dacia

Îți prezentăm un apartament modern, situat într-un bloc construit în 1978, într-una dintre cele mai căutate zone ale municipiul... | Reactualizat | GLADIATOR Imobiliare | Agenție imobiliară",54.0,3.0,1978.0,Dacia
31,120 000 €,"eri | ... | 1 |  /  | 2 | 120 000 € | 2264 €/m² | Apartament 2 camere bloc 2017 | Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Vând apartament 2 camere semidecomandat  53 mp
Zona centrala..B dul Nicolae Iorga 
Et 3..vedere la strada 
Bloc 2017
Apartamentul se vinde utilat mobilat complet 
Mai multe detalii la telefon | Agenție imobiliară",53.0,2.0,2017.0,Centru
35,72 500 €,"72 500 € | 1768 €/m² | Etaj 1 Apartament 1 Camera Decomandat 41mp Bloc 2019 zona Cug | CUG, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 41 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propun spre vanzare un apartament cu 1 camera decomandat suprafata 41mp situat la etajul 1 din 4 intr-un bloc nou construit pe cadre in 2019. Imobilul se vinde mobilat si utilat. Blocul beneficiaza... | ZDA | Agenție imobiliară",41.0,1.0,2019.0,CUG
36,124 000 €,"1 |  /  | 11 | 124 000 € | 1771 €/m² | Ap 3 Camere, 70 mp, etaj 2, bloc din 1985, Mutare Imediata, Nicolina | Nicolina 1, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 70 m² | Vezi descrierea anunțului | Apartament 3 camere, DECOMANDAT, mobilat si utilat, aflat la ETAJUL 2/4, intr-un bloc din anul 1985 din zona NicolinaApartamentul are o suprafata de aproximativ 70 mp si este compus din: camera de zi,... | Reactualizat | Greenland Imobiliare | Agenție imobiliară",70.0,3.0,1985.0,Nicolina 1
48,110 000 €,"eri | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 16 | 110 000 € | 1642 €/m² | Apartament 3 camere Nicolina 2, decomandat, mobilat ,utilat | Nicolina 2, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 67 m² | Etaj | 4 etajul | Vezi descrierea anunțului | COD OFERTA; CP6420Agentia Casa Prima va propune spre vanzare un apartament cu 3 camere decomandat cu suprafata de 67mp, situat in zona Nicolina 2, la etajul 4/4 al unui bloc construit din 1984. Se vin... | Agentia CASA PRIMA | Agenție imobiliară",67.0,3.0,1984.0,Nicolina 2
51,135 000 €,"eri | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 13 | 135 000 € | 2428 €/m² | Nicolina 1 - Apartament 3 camere DECOMANDAT 58,80 mp | Nicolina 1, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 55.6 m² | Etaj | 2 etajul | Vezi descrierea anunțului | DESTINE IMOBILIARE va prezinta urmatoarea oferta spre vanzare:* Apartament 3 camere decomandat - in Nicolina 1* Preț: 135.000 € negociabil- An construcție bloc 1980- Suprafață totală 58,80 mp- ETAJ 2 ... | Destine Imobiliare | Agenție imobiliară",80.0,3.0,1980.0,Nicolina 1
54,95 455 €,"1 |  /  | 6 | 95 455 € | 1634 €/m² | PROMO! Ap. cu 2 camere, D., et.1, 58.41mp, Galata, 95.455euro cu TVA | Nicolina 1, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 58.41 m² | Etaj | 1 etajul | Vezi descrierea anunțului | PROMOTIE! In perioada 1-31 decembrie 2025 taxele notariale pentru antecontract și contractul de vânzare-cumpărare sunt incluse în preț!
Va propunem spre achizitie, un apartament cu 2 camere, decomand... | Reactualizat | Imobilis Iasi Estates S.R.L. | Agenție imobiliară",58.41,2.0,2025.0,Nicolina 1
55,99 965 €,"1 |  /  | 6 | 99 965 € | 1793 €/m² | PROMO! Ap. cu 2 camere, Dec., et.1, 55.76mp, Galata, 99.965euro cu TVA | Nicolina 1, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55.76 m² | Etaj | 5 etajul | Vezi descrierea anunțului | PROMOTIE! In perioada 1-31 decembrie 2025 taxele notariale pentru antecontract și contractul de vânzare-cumpărare sunt incluse în preț!
Va propunem spre achizitie, un apartament cu 2 camere, decomand... | Reactualizat | Imobilis Iasi Estates S.R.L. | Agenție imobiliară",55.76,2.0,2025.0,Nicolina 1
56,85 000 €,"eri | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 85 000 € | 1667 €/m² | DE VANZARE-APARTAMENT 3 CAMERE-MIRCEA CEL BATRAN | Mircea cel Batran, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 51 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia Invest Imobiliare va propune spre vanzare un apartament de 3 camere, modelul semidecomandat, situat la etajul 4 intr-un bloc cu pod ce a fost construit in anul 1979, acesta fiind fara risc sei... | INVEST IMOBILIARE | Agenție imobiliară",51.0,3.0,1979.0,Mircea cel Batran
62,95 900 €,"eri | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 95 900 € | 1776 €/m² | Nicolina – CUG – Rond Vechi! Ap 2 CD, 54mp, bloc din 1985 | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia Viva Imobiliare va propune spre vanzare un apartament cu 2 camere, modelul decomandat, cu o suprafata de 55 mp, renovat complet in anul 2025 (tamplarie PVC cu geam tripan, instalatie termica p... | Viva Imobiliare | Agenție imobiliară",54.0,2.0,1985.0,Nicolina 2
63,167 000 €,"eri | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 167 000 € | 2530 €/m² | Apartament cu 2 camere decomandat, etajul 1 - Centru - Palas Mall. | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 66 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament cu 2 camere decomandat situat la etajul 1 in zona Centru - Pallas Mall, langa Judecatoria Iasi, bloc construit in 1985.Apartamentul dispune de ... | Top Imobil | Agenție imobiliară",66.0,2.0,1985.0,Tudor Vladimirescu
