,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare
2081,69999,40.0,2,1749.98,Alexandru-Dacia,Clasic (1977-2000),Nespecificat
2093,99000,53.0,2,1867.92,Tatarasi-Tudor,Nou (Post-2000),Nespecificat
2101,147900,75.0,3,1972.0,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat
2102,116990,64.0,2,1827.97,Nicolina-CUG,Nou (Post-2000),Decomandat
2126,78500,48.0,2,1635.42,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2127,60000,34.0,2,1764.71,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat
2128,65000,37.0,3,1756.76,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat
2137,131000,76.0,3,1723.68,Nicolina-CUG,Clasic (1977-2000),Decomandat
2138,115000,58.0,2,1982.76,Tatarasi-Tudor,Clasic (1977-2000),Nespecificat
2140,125000,64.0,2,1953.12,Nicolina-CUG,Vechi (Pre-1977),Decomandat
2141,126500,71.0,3,1781.69,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2162,87000,48.0,2,1812.5,Pacurari-Canta,Clasic (1977-2000),Decomandat
2166,60000,33.0,1,1818.18,Tatarasi-Tudor,Clasic (1977-2000),Nespecificat
2167,65000,44.0,2,1477.27,Alexandru-Dacia,Clasic (1977-2000),Semidecomandat
2170,88200,55.0,3,1603.64,Alexandru-Dacia,Vechi (Pre-1977),Semidecomandat
2172,78000,50.0,2,1560.0,Alexandru-Dacia,Vechi (Pre-1977),Nespecificat
2181,113000,60.0,3,1883.33,Nicolina-CUG,Clasic (1977-2000),Decomandat
2184,100430,50.0,2,2008.6,Copou-Saras,Nou (Post-2000),Nespecificat
2185,127900,68.0,3,1880.88,Nicolina-CUG,Clasic (1977-2000),Decomandat
2189,87145,60.1,2,1450.0,Copou-Saras,Nou (Post-2000),Nespecificat
2190,67643,46.65,1,1450.01,Copou-Saras,Nou (Post-2000),Nespecificat
2195,91500,60.0,3,1525.0,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2197,131000,65.0,3,2015.38,Pacurari-Canta,Nou (Post-2000),Decomandat
2198,60000,30.0,2,2000.0,Podu-Ros-Cantemir,Clasic (1977-2000),Nespecificat
2200,79990,44.0,2,1817.95,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2204,80000,45.0,2,1777.78,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2208,97000,58.0,2,1672.41,Pacurari-Canta,Clasic (1977-2000),Decomandat
2213,52500,32.0,1,1640.62,Periferie-Metropolitana,Nou (Post-2000),Decomandat
2215,96000,52.0,2,1846.15,Nicolina-CUG,Clasic (1977-2000),Decomandat
2221,92000,55.0,2,1672.73,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
2223,95000,56.0,2,1696.43,Bucium,Nou (Post-2000),Nespecificat
2224,59900,30.0,2,1996.67,Podu-Ros-Cantemir,Clasic (1977-2000),Nespecificat
2228,97500,62.0,2,1572.58,Bucium,Nou (Post-2000),Decomandat
2229,105000,74.0,3,1418.92,Galata-Frumoasa,Clasic (1977-2000),Decomandat
2231,96000,66.0,2,1454.55,Galata-Frumoasa,Nou (Post-2000),Decomandat
2232,112500,70.0,2,1607.14,Bucium,Nou (Post-2000),Decomandat
2237,126500,71.0,3,1781.69,Alexandru-Dacia,Vechi (Pre-1977),Decomandat
2243,125000,63.0,2,1984.13,Galata-Frumoasa,Clasic (1977-2000),Nespecificat
2246,77900,47.2,2,1650.42,Alexandru-Dacia,Vechi (Pre-1977),Decomandat
2247,67000,50.0,2,1340.0,Bucium,Nou (Post-2000),Nespecificat
2248,109000,75.0,3,1453.33,Nicolina-CUG,Clasic (1977-2000),Nespecificat
2253,127000,60.0,3,2116.67,Nicolina-CUG,Clasic (1977-2000),Decomandat
2270,95000,51.0,2,1862.75,Nicolina-CUG,Clasic (1977-2000),Decomandat
2272,125900,55.0,2,2289.09,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat
2281,130000,72.0,3,1805.56,Nicolina-CUG,Clasic (1977-2000),Decomandat
2306,140500,76.0,3,1848.68,Pacurari-Canta,Nou (Post-2000),Nespecificat
2326,176000,90.0,3,1955.56,Nicolina-CUG,Vechi (Pre-1977),Nespecificat
2335,145000,65.0,3,2230.77,Centru-Civic,Nou (Post-2000),Decomandat
2336,73000,44.0,2,1659.09,Galata-Frumoasa,Nou (Post-2000),Nespecificat
2340,85500,43.0,2,1988.37,Nicolina-CUG,Clasic (1977-2000),Decomandat
2343,99900,51.0,2,1958.82,Alexandru-Dacia,Vechi (Pre-1977),Decomandat
2366,145000,81.0,3,1790.12,Nicolina-CUG,Clasic (1977-2000),Decomandat
